lsl_timestamp,ch_01
165849.54513443026,"{""marker"": ""G1_R1_SPEECH_BOUNDARY_BEEP"", ""lsl_time"": 165849.5451463, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""end=P5;next=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:29.818065"", ""server_time_local"": ""2026-07-12T18:56:29.818065-04:00""}"
165849.60081712727,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 165849.600829, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""last_seen_age_sec=5.6"", ""server_time_utc"": ""2026-07-12T22:56:29.873159"", ""server_time_local"": ""2026-07-12T18:56:29.873159-04:00""}"
165849.6020720272,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 165849.6020839, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""last_seen_age_sec=5.6"", ""server_time_utc"": ""2026-07-12T22:56:29.875387"", ""server_time_local"": ""2026-07-12T18:56:29.875387-04:00""}"
165853.11221533682,"{""marker"": ""P2_RECONNECTED"", ""lsl_time"": 165853.1122274, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:33.385363"", ""server_time_local"": ""2026-07-12T18:56:33.385363-04:00""}"
165854.53843585946,"{""marker"": ""G1_R1_VOTE_SUBMIT_P2"", ""lsl_time"": 165854.538448, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""target=P2"", ""server_time_utc"": ""2026-07-12T22:56:34.811334"", ""server_time_local"": ""2026-07-12T18:56:34.811334-04:00""}"
165855.05149493163,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 165855.0515071, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:35.324979"", ""server_time_local"": ""2026-07-12T18:56:35.324979-04:00""}"
165856.2884802645,"{""marker"": ""G1_R1_VOTE_SUBMIT_P3"", ""lsl_time"": 165856.2884925, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""target=P4"", ""server_time_utc"": ""2026-07-12T22:56:36.560960"", ""server_time_local"": ""2026-07-12T18:56:36.560960-04:00""}"
165859.2793238023,"{""marker"": ""G1_R1_VOTE_SUBMIT_P4"", ""lsl_time"": 165859.2793362, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""target=P4"", ""server_time_utc"": ""2026-07-12T22:56:39.552341"", ""server_time_local"": ""2026-07-12T18:56:39.552341-04:00""}"
165859.91327496793,"{""marker"": ""P5_RECONNECTED"", ""lsl_time"": 165859.9132874, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-12T22:56:40.185989"", ""server_time_local"": ""2026-07-12T18:56:40.185989-04:00""}"
165861.66581467286,"{""marker"": ""G1_R1_VOTE_SUBMIT_P5"", ""lsl_time"": 165861.6658272, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""target=P5"", ""server_time_utc"": ""2026-07-12T22:56:41.938303"", ""server_time_local"": ""2026-07-12T18:56:41.938303-04:00""}"
165868.88009728157,"{""marker"": ""G1_R1_VOTE_SUBMIT_P1"", ""lsl_time"": 165868.8801102, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""target=P1"", ""server_time_utc"": ""2026-07-12T22:56:49.153155"", ""server_time_local"": ""2026-07-12T18:56:49.153155-04:00""}"
165870.5772821895,"{""marker"": ""G1_R1_CONFIDENCE_PHASE"", ""lsl_time"": 165870.5772952, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:56:50.850378"", ""server_time_local"": ""2026-07-12T18:56:50.850378-04:00""}"
165872.46468898715,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P1"", ""lsl_time"": 165872.4647021, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""2"", ""server_time_utc"": ""2026-07-12T22:56:52.737151"", ""server_time_local"": ""2026-07-12T18:56:52.737151-04:00""}"
165875.31629383247,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P2"", ""lsl_time"": 165875.3163071, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""3"", ""server_time_utc"": ""2026-07-12T22:56:55.589421"", ""server_time_local"": ""2026-07-12T18:56:55.589421-04:00""}"
165877.00717394077,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P3"", ""lsl_time"": 165877.0071873, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""4"", ""server_time_utc"": ""2026-07-12T22:56:57.280249"", ""server_time_local"": ""2026-07-12T18:56:57.280249-04:00""}"
165878.82834334197,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P4"", ""lsl_time"": 165878.8283568, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""4"", ""server_time_utc"": ""2026-07-12T22:56:59.101046"", ""server_time_local"": ""2026-07-12T18:56:59.101046-04:00""}"
165881.14460551634,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P5"", ""lsl_time"": 165881.1446191, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""5"", ""server_time_utc"": ""2026-07-12T22:57:01.416998"", ""server_time_local"": ""2026-07-12T18:57:01.416998-04:00""}"
165883.55138088582,"{""marker"": ""G1_R1_REASONING_PHASE"", ""lsl_time"": 165883.5513946, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:57:03.824154"", ""server_time_local"": ""2026-07-12T18:57:03.824154-04:00""}"
165885.38097888656,"{""marker"": ""G1_R1_REASONING_SUBMIT_P5"", ""lsl_time"": 165885.3809927, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""hesitation"", ""server_time_utc"": ""2026-07-12T22:57:05.653223"", ""server_time_local"": ""2026-07-12T18:57:05.653223-04:00""}"
165887.8903986505,"{""marker"": ""G1_R1_REASONING_SUBMIT_P2"", ""lsl_time"": 165887.8904126, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""contradiction"", ""server_time_utc"": ""2026-07-12T22:57:08.163111"", ""server_time_local"": ""2026-07-12T18:57:08.163111-04:00""}"
165890.30722881938,"{""marker"": ""G1_R1_REASONING_SUBMIT_P3"", ""lsl_time"": 165890.3072429, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": """", ""server_time_utc"": ""2026-07-12T22:57:10.580331"", ""server_time_local"": ""2026-07-12T18:57:10.580331-04:00""}"
165893.4650749481,"{""marker"": ""G1_R1_REASONING_SUBMIT_P4"", ""lsl_time"": 165893.4650892, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""too_much_detail"", ""server_time_utc"": ""2026-07-12T22:57:13.737211"", ""server_time_local"": ""2026-07-12T18:57:13.737211-04:00""}"
165899.18690863776,"{""marker"": ""G1_R1_REASONING_SUBMIT_P1"", ""lsl_time"": 165899.1869232, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""contradiction"", ""server_time_utc"": ""2026-07-12T22:57:19.459191"", ""server_time_local"": ""2026-07-12T18:57:19.459191-04:00""}"
165903.1198467244,"{""marker"": ""G1_R1_ROUND_END"", ""lsl_time"": 165903.1198615, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""ROUND_END"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:57:23.392458"", ""server_time_local"": ""2026-07-12T18:57:23.392458-04:00""}"
165913.42521886548,"{""marker"": ""SESSION_END"", ""lsl_time"": 165913.4252342, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SESSION_END"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-12T22:57:33.698054"", ""server_time_local"": ""2026-07-12T18:57:33.698054-04:00""}"
165913.82580984375,"{""marker"": ""P001_MEDIA_RECORDING_STOPPED"", ""lsl_time"": 165913.8258252, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SESSION_END"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""{\""segment\"": 1, \""note\"": \""Recorder stop requested\""}"", ""server_time_utc"": ""2026-07-12T22:57:34.098776"", ""server_time_local"": ""2026-07-12T18:57:34.098776-04:00""}"
165913.9746253357,"{""marker"": ""P001_MEDIA_UPLOAD_COMPLETED"", ""lsl_time"": 165913.9746407, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""SESSION_END"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""{\""session_id\"": \""S001\"", \""participant_id\"": \""P001\"", \""segment\"": 1, \""filename\"": \""P001_S001_camera_audio_part01.webm\"", \""mime_type\"": \""video/webm;codecs=vp9,opus\"", \""size_bytes\"": 36247666, \""started_utc\"": \""2026-07-12T22:55:27.377Z\"", \""ended_utc\"": \""2026-07-12T22:57:34.109Z\"", \""received_utc\"": \""2026-07-12T22:57:34.245910\""}"", ""server_time_utc"": ""2026-07-12T22:57:34.248008"", ""server_time_local"": ""2026-07-12T18:57:34.248008-04:00""}"
