id,session_id,game_number,player_id,role,word,common_word,spy_word,spy_player
1,S001,1,1,civilian,RIVER,RIVER,STREAM,2
2,S001,1,2,spy,STREAM,RIVER,STREAM,2
3,S001,1,3,civilian,RIVER,RIVER,STREAM,2
4,S001,1,4,civilian,RIVER,RIVER,STREAM,2
5,S001,1,5,civilian,RIVER,RIVER,STREAM,2
